Id,Title,Language,Year,Search Category,Display Type,Freely Available,Is Pay Per View,Subscription Tiers Permitted
626a9bba9a82636cf4033a98,Saree Ki Dukaan - English,English,2022,movie,MEDIA,False,False,"['gold', 'silver']"
626aa5569a82636cf4034faf,Saree Ki Dukaan - Bhojpuri,Bhojpuri,2022,movie,MEDIA,False,False,"['gold', 'silver']"
626aa5db9a82636cf40350eb,Saree Ki Dukaan - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
626aa8e5291ab96006e567e4,Saree Ki Dukaan - Kannada,Kannada,2022,movie,MEDIA,False,False,"['gold', 'silver']"
626aa91e7cde9c0be8749631,Saree Ki Dukaan - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
626abcb030cf906f5605c671,Saree Ki Dukaan - Malayalam,Malayalam,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6266a28a9a82636cf4f00a71,Jhumke,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
625d6602291ab96006aa1a4c,Zaroorat,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
625d693c291ab96006aa2234,Zaroorat - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
625d6a9930cf906f56c9d59d,Zaroorat - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
625950d99a82636cf4b1fa54,Pagg Ban Ke,Hindi,2022,movie,MEDIA,True,False,"['gold', 'silver']"
62543ad49f91b13655342690,Jaghanya (Kuttey Ki Maut),Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6496b58c5206220bcfd0699a,Jalebi Bai,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6496c745b108c90be35b93d6,Jalebi Bai - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6496d4875206220bcfd13319,Jalebi Bai - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
624af87ef571210be5582468,King's Man,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
646b4c58206d930bd373326c,King's Man,Hindi,2023,series,MEDIA,True,False,['silver']
659be2c86070700c708b7f0d,Patra Petika,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
659be8cfc655890c8f5fa70a,Patra Petika - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
659be8d8f19f110c85adb2f3,Patra Petika - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
623830927475490b96dd5a17,Kavita Bhabhi Season 3 (Part 4),Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
623831cfd5345f0bca9f734e,Kavita Bhabhi Season 3 (Part 4) - Bhojpuri,Bhojpuri,2022,series,MEDIA,False,False,"['gold', 'silver']"
623832d8b4c7770bb00b8d05,Kavita Bhabhi Season 3 (Part 4) - English,English,2022,series,MEDIA,False,False,"['gold', 'silver']"
62388a472508bd0bd4448f71,Kavita Bhabhi Season 3 ( Part 4 ) - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
62388d82d5345f0bcaa0a4cb,Kavita Bhabhi Season 3 ( Part 4 ) - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
64a7cb4cbcfbc80bd7823f1c,Mini Bomb,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
65216681dd7bf20c8b043739,Maa Devrani Beti Jethani,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
65244371dd7bf20c8b1241a6,Maa Devrani Beti Jethani - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6524438376aceb0c6f00c589,Maa Devrani Beti Jethani - Telugu,Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6226199e247f6f0bbd448272,Lahore Diaries (Part-2),Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
6220c0b8249eb30b99947be6,"Beta Aashiq, Baap Ayyash ",Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6220cd3dd85f160bb4334eb7,"Beta Aashiq, Baap Ayyash - Tamil",Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
6220d2e8249eb30b9994b0cb,"Beta Aashiq, Baap Ayyash  - Telugu",Telugu,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621ce635dbb9cd0bab75b729,Lahore Diaries (Part-1),Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
62178e6b6158020b9c05d192,Chawl House - 2,Hindi,2022,series,MEDIA,False,False,"['gold', 'silver']"
6217994572b5160bb5961843,Chawl House - 2 - Tamil,Tamil,2022,series,MEDIA,False,False,"['gold', 'silver']"
62179aa66c3f290ba89f4c36,Chawl House - 2 - Telugu,Telugu,2022,series,MEDIA,False,False,"['gold', 'silver']"
6213778d470f380c46fc5df0,Navel Of Love,Hindi,2022,movie,MEDIA,False,False,"['gold', 'silver']"
621392676c3f290ba88ef6c2,Navel Of Love - Tamil,Tamil,2022,movie,MEDIA,False,False,"['gold', 'silver']"
